,"Tribe",,,,"Species","Tooth type","Max/mand","Index","Amplitudes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extant","Alcelaphini",,,,1,"LM2","mand",4093,232.661102,111.831101,13.03731,2.50089,23.898951,53.83783,2.77133,13.37854,5.30573,11.58664,1.44721,5.95995,2.29876,10.08001,1.60458,2.7531,0.50023,1.24157,0.68419,4.91311,1.21548,1.73315,0.97681,1.32365,0.30641,2.57304,1.45397,1.10756,0.61727,0.98585,1.00184,2.17974,0.33642,0.45754,0.62908,1.13916,0.52372,1.09089,0.46872,0.69649,0.34799,0.27306,0.49621,1.10799,0.34917,0.27877,0.50911,0.50107,0.00935,0.53499,0.12132,0.35837,0.15588,0.27135,0.10336,0.50986,0.06235,0.21468,0.21383,0.38459
"Extant","Alcelaphini",,,,1,"LM2","mand",4098,217.134003,109.166901,11.08216,5.46311,24.54213,57.458302,2.86565,4.95544,4.48711,13.24736,0.60783,2.6423,5.34814,7.57034,2.73403,1.30242,1.25126,1.90746,0.83474,2.55943,2.57847,1.01867,0.43858,1.43228,1.1783,1.96366,1.12424,0.80354,0.66655,0.18657,1.18264,1.45565,0.71806,0.34095,0.6746,0.56148,0.36698,1.13837,0.25985,0.23595,0.4276,0.29307,0.42358,0.73311,0.14937,0.35665,0.23255,0.43148,0.33241,0.68545,0.14038,0.15363,0.16082,0.11569,0.24894,0.35003,0.0954,0.24581,0.06402,0.35668
"Extant","Alcelaphini",,,,1,"LM2","mand",4102,224.567993,104.086601,23.060341,8.83982,23.59532,53.674381,2.43092,12.64178,4.2239,10.44509,1.521,0.96885,1.93791,9.32433,3.1728,4.17015,1.40702,3.38028,0.83432,3.17029,0.72651,2.41615,0.266,0.19072,0.60734,2.71173,0.44513,1.20322,1.27006,1.52355,0.88155,1.46094,0.45701,0.86775,0.28495,0.39966,0.34278,1.63749,0.31535,0.88299,0.18608,0.85898,0.53199,0.39933,0.44742,0.61101,0.41027,0.4006,0.2662,0.51183,0.13992,0.32993,0.27459,0.4204,0.20569,0.24012,0.14151,0.1786,0.11239,0.27687
"Extant","Alcelaphini",,,,1,"LM2","mand",4106,250.748505,100.709,14.15217,7.20871,22.706369,43.708721,3.72246,19.05193,3.63579,7.17793,2.29515,7.80043,0.51673,9.77306,1.62519,3.1106,1.21716,1.5734,0.53199,4.79319,0.50718,1.05274,1.04643,2.70534,0.70421,1.21188,0.74233,0.33941,0.99211,1.60311,0.93695,1.67749,0.57257,0.38565,0.65663,1.05638,0.31566,0.28286,0.39767,0.72625,0.48524,0.83257,0.44445,0.23722,0.33094,0.20856,0.13783,0.14285,0.46934,0.45174,0.22375,0.33816,0.17198,0.5113,0.28045,0.42522,0.16114,0.26242,0.08187,0.16919
"Extant","Alcelaphini",,,,1,"LM2","mand",4110,248.452698,107.359901,17.141621,2.57784,21.105009,47.745419,1.26459,13.96047,5.38043,9.38133,2.63357,2.87312,1.82053,9.04826,2.96923,2.53496,0.70954,1.28552,1.41674,3.99104,1.18533,1.99443,1.05081,1.27889,1.52404,2.39703,1.05955,1.06634,0.56861,0.31539,0.91685,1.56317,0.51222,0.84807,0.78234,0.73727,0.15003,1.39967,0.32529,0.12656,0.40832,0.26112,0.03328,0.58695,0.34734,0.48772,0.47009,0.38729,0.21146,0.63224,0.35584,0.34638,0.10112,0.11914,0.27811,0.38838,0.30819,0.36256,0.08389,0.16279
"Extant","Alcelaphini",,,,1,"LM2","mand",4114,261.92691,112.087601,18.01774,5.57326,26.862619,49.598469,3.2096,16.256599,3.37689,11.46076,4.78872,3.80798,0.99586,10.17095,2.68936,3.16688,0.35339,0.73855,0.19956,5.32587,0.90655,2.15477,1.35356,1.1824,0.9068,2.35504,1.15141,0.64052,0.86811,0.43114,0.55022,2.12259,0.43047,1.24382,0.32795,0.65503,0.49366,0.68887,0.07879,0.709,0.6004,0.43794,0.28182,0.69499,0.17907,0.66857,0.13318,0.0315,0.44653,0.46477,0.16191,0.50873,0.06284,0.10956,0.13445,0.38098,0.33509,0.07867,0.05336,0.30773
"Extant","Alcelaphini",,,,1,"LM2","mand",4118,232.774704,113.523003,15.18588,3.10058,23.42585,52.284802,1.25277,13.3911,5.28019,12.76694,2.31067,4.05096,2.31001,9.86802,3.22838,3.22887,0.89651,1.21128,0.50865,4.68274,0.90912,1.96097,1.22021,0.99851,0.60153,2.59638,1.39364,0.58546,1.18968,0.18354,1.07829,2.40855,0.38311,0.96893,0.61788,0.68806,0.59955,1.55315,0.28583,0.47374,0.07067,0.32366,0.27554,0.81113,0.41125,0.25424,0.33765,0.19224,0.19587,0.78556,0.21621,0.16777,0.38396,0.25743,0.15059,0.49761,0.14242,0.06494,0.19842,0.22253
"Extant","Alcelaphini",,,,1,"LM2","mand",4122,224.996506,109.232201,11.16551,2.72678,21.66469,55.221211,2.01478,11.36711,5.21604,12.51651,1.69648,3.47374,2.88824,9.63076,2.57038,3.82601,1.94287,2.46234,0.47664,3.88367,0.73757,1.69034,1.21614,0.37096,0.81561,2.61261,1.47686,0.95482,0.49398,0.32456,1.18119,2.24495,0.47227,0.80349,0.48354,0.71395,0.2806,1.61193,0.3327,0.41146,0.33742,0.04997,0.43537,0.93896,0.38328,0.50162,0.20451,0.29509,0.31059,0.81018,0.07542,0.11842,0.28685,0.24821,0.2716,0.68532,0.06918,0.36675,0.39014,0.19593
"Extant","Alcelaphini",,,,1,"LM2","mand",4126,237.740204,107.074303,19.901859,8.82955,21.95503,55.406841,1.53468,11.439,3.52867,10.38261,1.57281,2.06865,2.24036,9.15116,1.62644,3.7606,1.23387,2.52234,0.37618,3.97771,0.79256,2.35362,1.52337,0.63967,0.25905,2.29869,1.37505,1.58637,0.48731,1.42544,1.07587,1.95992,0.48377,1.14976,0.42345,0.53049,0.33736,1.24746,0.50837,0.6959,0.34586,0.58751,0.47077,0.4715,0.47219,0.96015,0.25274,0.49618,0.4052,0.38042,0.30829,0.32963,0.23923,0.4507,0.22526,0.16647,0.18973,0.15398,0.02227,0.55172
"Extant","Alcelaphini",,,,1,"LM2","mand",4130,247.5289,100.3554,14.49843,8.08556,21.59865,42.897671,2.50764,18.297819,4.29102,5.22018,2.13319,8.31202,1.07395,8.69367,2.1893,2.10267,1.36088,1.16978,0.97705,4.71807,1.06323,1.40942,0.61281,1.75441,1.21824,1.9822,0.77633,0.21552,1.34361,1.03829,0.72278,1.66619,0.52357,0.2828,0.66215,0.78068,0.12424,0.27294,0.52291,0.35854,0.27544,0.88318,0.15064,0.4253,0.22234,0.07219,0.27838,0.44135,0.14956,0.20997,0.23956,0.38661,0.19456,0.39986,0.21004,0.12433,0.09278,0.23004,0.08726,0.14136
